Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",Unnamed: 19
2019/01/01,0000 UTC,0.0,1011.9,1011.9,1011.4,,27.4,24.7,27.5,27.2,24.8,24.4,85.0,83.0,85.0,136.0,5.7,2.0,
2019/01/01,0100 UTC,0.0,1012.2,1012.3,1011.9,,27.8,24.4,27.9,27.4,24.9,24.3,86.0,81.0,82.0,116.0,5.3,1.1,
2019/01/01,0200 UTC,0.0,1012.5,1012.6,1012.2,,26.3,24.3,27.8,26.3,24.7,24.2,89.0,82.0,89.0,306.0,3.2,0.7,
2019/01/01,0300 UTC,0.0,1011.8,1012.5,1011.8,,25.2,23.8,26.3,25.2,24.4,23.7,92.0,89.0,92.0,8.0,2.5,0.5,
2019/01/01,0400 UTC,0.0,1011.4,1011.8,1011.4,,24.9,23.7,25.4,24.8,24.2,23.5,93.0,92.0,93.0,293.0,2.0,0.7,
2019/01/01,0500 UTC,0.0,1010.9,1011.4,1010.9,,24.4,23.6,24.9,24.3,23.7,23.5,96.0,93.0,96.0,314.0,1.3,0.7,
2019/01/01,0600 UTC,0.0,1010.8,1010.9,1010.6,,24.2,23.4,24.4,24.0,23.6,23.2,96.0,95.0,96.0,286.0,2.2,0.9,
2019/01/01,0700 UTC,0.0,1011.0,1011.0,1010.8,,23.9,22.9,24.2,23.9,23.5,22.9,96.0,94.0,94.0,310.0,1.6,0.5,
2019/01/01,0800 UTC,0.0,1011.2,1011.2,1011.0,,23.6,22.8,24.0,23.5,22.9,22.5,95.0,93.0,95.0,329.0,1.6,0.9,
2019/01/01,0900 UTC,0.0,1012.3,1012.3,1011.2,2.0,23.8,23.1,23.8,23.5,23.1,22.7,96.0,95.0,96.0,271.0,2.0,0.8,
